Playlist,Curator,Followers,28-Day Change,28-Day Add,Genres,Personalized,Track Age,Playlist Updated,Playlist ID,Playlist Url,Spotify Playlist ID,Spotify Playlist URL,Curator ID,Curator URL,Spotify Curator ID,Spotify Curator URL
Gold Bars: Oz Hip Hop,Spotify,32.34K,455,0%,"Hip-Hop/Rap, Rock, Alternative",No,catalogue,"Nov 16, 2022",2150328,/playlist/spotify?id=2150328,37i9dQZF1DX3VG3a6cWRhP,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX3VG3a6cWRhP,2,/curator/spotify?id=2150328,spotify,https://open.spotify.com/user/spotify
Takeoff best songs 💀🔥,Brandoncee,32.33K,-125,0%,"Hip-Hop/Rap, Pop, Latin Hip-Hop/Rap",No,mixed,"Dec 17, 2022",1749734,/playlist/spotify?id=1749734,63tPcrPKcOt6TWPumcoM2u,https://open.spotify.com/user/22gp7zj7nmj2nb7vaelmrkrty/playlist/63tPcrPKcOt6TWPumcoM2u,233512,/curator/spotify?id=1749734,22gp7zj7nmj2nb7vaelmrkrty,https://open.spotify.com/user/22gp7zj7nmj2nb7vaelmrkrty
Reading,Mercury Mission,32.32K,543,0%,"Classical, New Age, Hip-Hop/Rap",No,mixed,"Jan 14, 2023",3492607,/playlist/spotify?id=3492607,5aTSJBxa1cTOZ7VdNyz0rR,https://open.spotify.com/user/ak6tccrpgomh3qjet0duks68f/playlist/5aTSJBxa1cTOZ7VdNyz0rR,14898507,/curator/spotify?id=3492607,ak6tccrpgomh3qjet0duks68f,https://open.spotify.com/user/ak6tccrpgomh3qjet0duks68f
Musica Indie,Suono Italiano,32.32K,null,4%,"Hip-Hop/Rap, Pop, Rock",No,frontline,"Jan 11, 2023",15619060,/playlist/spotify?id=15619060,4VyK0TJjmM0KVbgPbNMqMS,https://open.spotify.com/user/3152vdan2fasbymo64xdbonpg4ny/playlist/4VyK0TJjmM0KVbgPbNMqMS,23910656,/curator/spotify?id=15619060,3152vdan2fasbymo64xdbonpg4ny,https://open.spotify.com/user/3152vdan2fasbymo64xdbonpg4ny
"00's RnB, HipHop and Pop Hits",Leo Lobaton,32.31K,468,0%,"R&B/Soul, Pop, Hip-Hop/Rap",No,catalogue,"Jan 04, 2023",2409079,/playlist/spotify?id=2409079,4ZVlrmh3k3Q9N1bW0m6Kkz,https://open.spotify.com/user/empty022/playlist/4ZVlrmh3k3Q9N1bW0m6Kkz,14481020,/curator/spotify?id=2409079,empty022,https://open.spotify.com/user/empty022
NEW ARTISTS 2021,Sako,32.30K,0,0%,"Dance, Hip-Hop/Rap, Rock",No,mixed,"Oct 06, 2021",7964114,/playlist/spotify?id=7964114,6Vk4AS6vg5qd1n4COskqQE,https://open.spotify.com/user/ws3vuls9gawl9ubktmjy19jub/playlist/6Vk4AS6vg5qd1n4COskqQE,19189002,/curator/spotify?id=7964114,ws3vuls9gawl9ubktmjy19jub,https://open.spotify.com/user/ws3vuls9gawl9ubktmjy19jub
RAP/HIPHOP/TRAP,Sharp Music,32.30K,-56,0%,"Hip-Hop/Rap, R&B/Soul",No,frontline,"Nov 07, 2022",1937641,/playlist/spotify?id=1937641,3RR6JwTkJAAnwogyAHzEcG,https://open.spotify.com/user/lr0hti0ddsw5ls4duby095lzf/playlist/3RR6JwTkJAAnwogyAHzEcG,297507,/curator/spotify?id=1937641,lr0hti0ddsw5ls4duby095lzf,https://open.spotify.com/user/lr0hti0ddsw5ls4duby095lzf
International HITS,Trap Italia 🇮🇹,32.28K,11010,5%,"Pop, Hip-Hop/Rap, Dance",No,frontline,"Jan 14, 2023",14406169,/playlist/spotify?id=14406169,1DbZyCmsHaPgrZmQEqdLl0,https://open.spotify.com/user/31piyca4um4qtxcduhcfcmb45zji/playlist/1DbZyCmsHaPgrZmQEqdLl0,23188484,/curator/spotify?id=14406169,31piyca4um4qtxcduhcfcmb45zji,https://open.spotify.com/user/31piyca4um4qtxcduhcfcmb45zji
Vibes Radar,Peter Smith,32.27K,0,0%,"R&B/Soul, Pop, Hip-Hop/Rap",No,mixed,"Aug 27, 2021",6665125,/playlist/spotify?id=6665125,52OvDNOsnEPrq4kSJDQ8Sr,https://open.spotify.com/user/e7iaxro2ph0716nm6rfgmuu4h/playlist/52OvDNOsnEPrq4kSJDQ8Sr,18148109,/curator/spotify?id=6665125,e7iaxro2ph0716nm6rfgmuu4h,https://open.spotify.com/user/e7iaxro2ph0716nm6rfgmuu4h
Tony Thriller Night Drive (Study Lofi & Chill Beats) Daily Updates🌙 🦉,Tony Thriller Chill Beats Co.,32.27K,-63,1%,"Hip-Hop/Rap, Instrumental, Jazz",No,mixed,"Jan 14, 2023",1980295,/playlist/spotify?id=1980295,5UBz5oIAcXgWLezoXuELnT,https://open.spotify.com/user/tjv7q2h4r20htbiv88z0dcb85/playlist/5UBz5oIAcXgWLezoXuELnT,312167,/curator/spotify?id=1980295,tjv7q2h4r20htbiv88z0dcb85,https://open.spotify.com/user/tjv7q2h4r20htbiv88z0dcb85
Hiphop Savy,Autumn  Splendor,32.27K,0,0%,"Hip-Hop/Rap, Pop, Rock",No,mixed,"Aug 26, 2021",6744861,/playlist/spotify?id=6744861,0CvO33m96TYHB1V4zBrzLH,https://open.spotify.com/user/308day0izatvwnoo1o4pdfhrp/playlist/0CvO33m96TYHB1V4zBrzLH,18214793,/curator/spotify?id=6744861,308day0izatvwnoo1o4pdfhrp,https://open.spotify.com/user/308day0izatvwnoo1o4pdfhrp
Trap Urbano,urbaneo,32.27K,-18,0%,"Latin, Latin Hip-Hop/Rap, Hip-Hop/Rap",No,catalogue,"Dec 18, 2022",1667096,/playlist/spotify?id=1667096,6qrUSudJoWOVRbNhdO6XXG,https://open.spotify.com/user/urbaneo/playlist/6qrUSudJoWOVRbNhdO6XXG,224192,/curator/spotify?id=1667096,urbaneo,https://open.spotify.com/user/urbaneo
Rap More,The Lost Heaven,32.25K,0,0%,"Hip-Hop/Rap, R&B/Soul, Rock",No,mixed,"Mar 13, 2022",9395691,/playlist/spotify?id=9395691,5x5XN0VA4yq6wekXr79Fqt,https://open.spotify.com/user/t2f5jvwafdvsq17wqw2jnk9sf/playlist/5x5XN0VA4yq6wekXr79Fqt,20306822,/curator/spotify?id=9395691,t2f5jvwafdvsq17wqw2jnk9sf,https://open.spotify.com/user/t2f5jvwafdvsq17wqw2jnk9sf
